config,preprocessing,vectorizer,classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
baseline_tfidf_unigram_MultinomialNB,baseline,tfidf_unigram,MultinomialNB,0.8149999999999998,0.018027756377319962,0.8446152368443389,0.026526178508351088,0.773,0.021118712081942895,0.8069237569013271,0.01789219253283884
baseline_tfidf_unigram_LogisticRegression,baseline,tfidf_unigram,LogisticRegression,0.8295,0.016688319268278635,0.8265774840821496,0.016258071581439354,0.834,0.019849433241279187,0.8302252823344105,0.017042997881385056
baseline_tfidf_unigram_LinearSVC,baseline,tfidf_unigram,LinearSVC,0.8584999999999999,0.010198039027185577,0.8518315049538145,0.010177701499486295,0.868,0.011224972160321834,0.859826449581066,0.010153077518400931
baseline_tfidf_bigram_MultinomialNB,baseline,tfidf_bigram,MultinomialNB,0.8240000000000001,0.01772004514666933,0.8316483793747708,0.02225400179232927,0.8130000000000001,0.01913112646970896,0.822073716586232,0.01755459188361432
baseline_tfidf_bigram_LogisticRegression,baseline,tfidf_bigram,LogisticRegression,0.8310000000000001,0.01834393632784414,0.8305053729141715,0.020767768221435612,0.8320000000000001,0.016309506430300106,0.8312177786308513,0.01789614810277321
baseline_tfidf_bigram_LinearSVC,baseline,tfidf_bigram,LinearSVC,0.8654999999999999,0.01228820572744452,0.8671413854994814,0.02099103929903368,0.8640000000000001,0.009165151389911688,0.8654019517973583,0.010933873869343151
stemming_tfidf_unigram_MultinomialNB,stemming,tfidf_unigram,MultinomialNB,0.8125,0.02371708245126286,0.8278432533718227,0.02923618165523198,0.79,0.028809720581775843,0.808160631429114,0.024042701668609837
stemming_tfidf_unigram_LogisticRegression,stemming,tfidf_unigram,LogisticRegression,0.8379999999999999,0.01839836949297411,0.8281831042048102,0.017756341242979506,0.8530000000000001,0.021118712081942895,0.8403617513648186,0.018349460618187118
stemming_tfidf_unigram_LinearSVC,stemming,tfidf_unigram,LinearSVC,0.849,0.012308533625091198,0.848820275478932,0.020316337189868916,0.85,0.010954451150103331,0.8492369672249804,0.010919634284636399
stemming_tfidf_bigram_MultinomialNB,stemming,tfidf_bigram,MultinomialNB,0.8140000000000001,0.02250555486985379,0.8310187817244883,0.027530356461749807,0.789,0.027276363393971704,0.809201696050153,0.022986854618327765
stemming_tfidf_bigram_LogisticRegression,stemming,tfidf_bigram,LogisticRegression,0.8445,0.015280706789936123,0.838205890170577,0.016591599623443507,0.8539999999999999,0.017720045146669364,0.8459549243514948,0.015121302076208086
stemming_tfidf_bigram_LinearSVC,stemming,tfidf_bigram,LinearSVC,0.8575000000000002,0.016431676725154987,0.85605598952247,0.019725843700693593,0.86,0.021679483388678818,0.857834356224258,0.016461145253744265
lemmatization_tfidf_unigram_MultinomialNB,lemmatization,tfidf_unigram,MultinomialNB,0.8164999999999999,0.018547236990991423,0.8340694811733153,0.023296321721730934,0.791,0.03152776554086889,0.8115176283023275,0.020260689315345092
lemmatization_tfidf_unigram_LogisticRegression,lemmatization,tfidf_unigram,LogisticRegression,0.8415000000000001,0.02148255105894084,0.8345112527177804,0.020825228693440178,0.852,0.024617067250182364,0.8431021343972527,0.021574425068304006
lemmatization_tfidf_unigram_LinearSVC,lemmatization,tfidf_unigram,LinearSVC,0.865,0.010368220676663847,0.8603155343891956,0.0173183670440578,0.8719999999999999,0.006782329983125274,0.8660134959893426,0.009179601334190922
lemmatization_tfidf_bigram_MultinomialNB,lemmatization,tfidf_bigram,MultinomialNB,0.8160000000000001,0.013564659966250541,0.8345796183983323,0.02014477827865439,0.7889999999999999,0.022671568097509254,0.8108322458797559,0.014202221665578918
lemmatization_tfidf_bigram_LogisticRegression,lemmatization,tfidf_bigram,LogisticRegression,0.8425,0.0157321327225523,0.8354263670148121,0.014308920713394447,0.853,0.018867962264113226,0.8440947165111851,0.015978938583300708
lemmatization_tfidf_bigram_LinearSVC,lemmatization,tfidf_bigram,LinearSVC,0.8614999999999998,0.01562049935181333,0.8507230964529958,0.014096490953825544,0.877,0.024819347291981736,0.8635005227247987,0.016262711850817686
