classifier,model_type,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
NB_Multinomial,Naive Bayes,0.8100000000000002,0.017392527130926077,0.8207636748354261,0.025737084690175795,0.793,0.017776388834631195,0.8062672456762809,0.024831554985545626
NB_Multinomial_a0.5,Naive Bayes,0.8075000000000001,0.017818529681205446,0.8144288282775737,0.023008861166871328,0.798,0.04190465367951392,0.8099263567475781,0.03598210845015361
NB_Multinomial_a0.1,Naive Bayes,0.8030000000000002,0.018801595676963153,0.8092846393834133,0.025497024550498296,0.8089999999999999,0.017999999999999964,0.807511426640677,0.022266020204163253
NB_Bernoulli,Naive Bayes,0.791,0.04360619222083029,0.8166132578458646,0.024085056227527893,0.736,0.035972211497209895,0.7782967496060519,0.008002437961605944
LR_C0.1,Logistic Regression,0.8024999999999999,0.028062430400804566,0.7875756943776759,0.024768970933934955,0.8,0.03193743884534261,0.8070358824619648,0.02303960135042096
LR_C1.0,Logistic Regression,0.8305,0.008124038404635967,0.8222474410644205,0.012082841210460299,0.8379999999999999,0.009273618495495711,0.8287647841073105,0.014728720584571775
LR_C10,Logistic Regression,0.8299999999999998,0.010368220676663853,0.8356672440738897,0.024767744488261426,0.8479999999999999,0.017204650534085267,0.8426794838143138,0.020517317064652426
LR_L1,Logistic Regression,0.7655,0.01615549442140352,0.7334989257709863,0.010638706138833054,0.842,0.027856776554368263,0.7709293882576833,0.015201882092140268
SVM_linear_C0.1,SVM,0.8234999999999999,0.008455767262643871,0.8119510950695611,0.027395223393702463,0.8220000000000001,0.03171750305430739,0.8258533572683454,0.010627252101852029
SVM_linear_C1.0,SVM,0.8375,0.02097617696340305,0.8489321280092301,0.019344026798970435,0.843,0.03234192325759247,0.8470149814795608,0.016889217916044558
SVM_linear_C10,SVM,0.8130000000000001,0.011224972160321787,0.8171568677482602,0.0228002973406489,0.8220000000000001,0.017492855684535874,0.8264289428693539,0.01030205911280372
